inputs	outputs	result
101000110	{'0100': 145, '1011': 55}	PASS
010111001	{'1101': 53, '0110': 147}	PASS
111010011	{'1010': 49, '1111': 151}	PASS
001101100	{'0100': 52, '0111': 148}	PASS
010001111	{'1000': 42, '0101': 158}	PASS
100010000	{'1001': 100}	PASS
011110110	{'1000': 47, '1100': 153}	PASS
101101001	{'0101': 46, '1100': 154}	PASS
101011100	{'1011': 49, '1111': 151}	PASS
010000010	{'0101': 41, '0010': 159}	PASS
110101101	{'0111': 44, '1110': 156}	PASS
001110001	{'1001': 40, '0100': 160}	PASS
000011111	{'0000': 57, '0001': 143}	PASS
110111000	{'1110': 50, '1101': 150}	PASS
111001011	{'0110': 50, '1111': 150}	PASS
101100010	{'0010': 147, '1100': 53}	PASS
000000100	{'0001': 44, '0011': 156}	PASS
011101110	{'0000': 27, '1000': 73}	uof
