inputs	outputs	result
010011	{'100000': 106, '011000': 88, '011100': 96, '010100': 110}	PASS
011100	{'011001': 95, '011101': 105, '100101': 102, '100001': 98}	PASS
110000	{'111001': 93, '110101': 116, '111101': 98, '110001': 93}	PASS
101001	{'110110': 107, '101010': 99, '110010': 104, '101110': 90}	PASS
111010	{'100111': 112, '011011': 92, '011111': 94, '100011': 102}	uof
001110	{'110111': 107, '110011': 87, '101111': 116, '101011': 90}	uof
001001	{'001110': 89, '010110': 95, '010010': 116, '001010': 100}	PASS
100111	{'101100': 106, '101000': 96, '100100': 109, '110000': 89}	PASS
111111	{'101000': 95, '100100': 94, '100000': 109, '011100': 102}	uof
000000	{'001001': 88, '000001': 112, '000101': 102, '001101': 98}	PASS
000101	{'001010': 113, '001110': 103, '000010': 105, '000110': 79}	PASS
110101	{'110110': 90, '111010': 103, '111110': 101, '110010': 106}	PASS
100110	{'100111': 100, '101011': 96, '101111': 92, '100011': 112}	PASS
001010	{'110111': 85, '101111': 96, '101011': 110, '110011': 109}	uof
