inputs	outputs	result
011010	{'100111': 89, '011111': 96, '100011': 114, '011011': 101}	PASS
001111	{'011000': 89, '001100': 96, '010000': 100, '010100': 115}	PASS
100010	{'100011': 96, '100111': 101, '101011': 110, '101111': 93}	PASS
101100	{'110001': 92, '101001': 101, '101101': 112, '110101': 95}	PASS
000101	{'001110': 94, '000110': 107, '000010': 113, '001010': 86}	PASS
001001	{'001010': 101, '010010': 109, '010110': 93, '001110': 97}	PASS
100001	{'101110': 87, '101010': 103, '100010': 100, '100110': 110}	PASS
110011	{'000000': 94, '111000': 105, '111100': 108, '110100': 93}	PASS
100111	{'101000': 100, '100100': 110, '110000': 94, '101100': 96}	PASS
000110	{'001111': 93, '000111': 100, '001011': 112, '000011': 95}	PASS
111101	{'100110': 112, '011010': 101, '011110': 85, '100010': 102}	uof
101010	{'110111': 89, '101111': 85, '101011': 107, '110011': 119}	PASS
111000	{'111001': 94, '000101': 98, '000001': 106, '111101': 102}	PASS
110100	{'110101': 87, '111001': 89, '111101': 102, '110001': 122}	PASS
111110	{'111111': 100, '000111': 75, '000011': 111, '111011': 114}	PASS
101011	{'110100': 97, '111000': 112, '110000': 85, '101100': 106}	PASS
000000	{'000001': 88, '001101': 98, '000101': 109, '001001': 105}	PASS
001100	{'001001': 87, '010001': 107, '010101': 117, '001101': 89}	PASS
010111	{'100000': 90, '011000': 106, '010100': 103, '011100': 101}	PASS
011011	{'101000': 89, '100000': 103, '100100': 113, '011100': 95}	PASS
010001	{'011010': 96, '010010': 111, '010110': 85, '011110': 108}	PASS
000010	{'001011': 104, '000111': 92, '001111': 96, '000011': 108}	PASS
011100	{'011101': 93, '011001': 103, '100101': 108, '100001': 96}	PASS
010010	{'010011': 92, '011111': 109, '010111': 94, '011011': 105}	PASS
