inputs	outputs	result
000011	{'001100': 93, '000100': 110, '001000': 107, '010000': 90}	PASS
111100	{'000101': 100, '111001': 108, '000001': 89, '111101': 103}	PASS
001101	{'010010': 109, '001110': 83, '010110': 112, '001010': 96}	PASS
101010	{'110111': 101, '110011': 95, '101111': 108, '101011': 96}	PASS
110001	{'110110': 108, '111010': 102, '111110': 88, '110010': 102}	PASS
010110	{'010011': 97, '011111': 104, '011011': 100, '010111': 99}	PASS
001001	{'010010': 85, '001010': 108, '001110': 115, '010110': 92}	PASS
111110	{'111011': 100, '000011': 91, '111111': 86, '000111': 123}	PASS
110000	{'111101': 103, '110001': 92, '110101': 94, '111001': 111}	PASS
000110	{'001111': 101, '000011': 101, '001011': 97, '000111': 101}	PASS
010101	{'011010': 107, '010010': 93, '010110': 105, '011110': 95}	PASS
011000	{'011001': 89, '011101': 105, '100001': 105, '100101': 101}	PASS
100111	{'101100': 99, '101000': 101, '100100': 99, '110000': 101}	PASS
101100	{'101101': 97, '110101': 98, '101001': 110, '110001': 95}	PASS
010011	{'010100': 113, '011100': 84, '011000': 108, '100000': 95}	PASS
001111	{'010100': 81, '010000': 88, '011000': 120, '001100': 111}	PASS
101010	{'110011': 108, '110111': 98, '101011': 106, '101111': 88}	PASS
111001	{'111010': 91, '111110': 101, '000010': 109, '000110': 99}	PASS
000001	{'001010': 97, '001110': 118, '000010': 102, '000110': 83}	PASS
010011	{'011100': 100, '010100': 97, '100000': 105, '011000': 98}	PASS
111001	{'000010': 82, '000110': 90, '111010': 120, '111110': 108}	PASS
000110	{'000011': 88, '001111': 103, '001011': 101, '000111': 108}	PASS
101111	{'110000': 105, '111000': 113, '110100': 85, '101100': 97}	PASS
100010	{'100111': 102, '100011': 89, '101111': 92, '101011': 117}	PASS
111110	{'111111': 101, '000111': 98, '111011': 101, '000011': 100}	PASS
010101	{'011010': 98, '010010': 94, '011110': 97, '010110': 111}	PASS
000001	{'001110': 104, '001010': 94, '000010': 110, '000110': 92}	PASS
100100	{'100101': 103, '100001': 103, '101101': 103, '101001': 91}	PASS
110000	{'110101': 100, '111001': 105, '110001': 92, '111101': 103}	PASS
110111	{'000000': 102, '110100': 94, '111100': 95, '111000': 109}	PASS
101001	{'101010': 99, '110110': 103, '110010': 96, '101110': 102}	PASS
011111	{'000100': 105, '001000': 91, '000000': 108, '111100': 96}	uof
