inputs	outputs	result
1111000	{'1111000': 100}	PASS
0000000	{'0000000': 100}	PASS
0101101	{'0101101': 100}	PASS
1010010	{'1010010': 100}	PASS
0001110	{'0001110': 100}	PASS
1011011	{'1011011': 100}	PASS
1100111	{'1100111': 100}	PASS
0111111	{'0011111': 100}	uof
1011100	{'1011100': 100}	PASS
0100010	{'0100010': 100}	PASS
1000001	{'1000001': 100}	PASS
1110101	{'1110101': 100}	PASS
1100100	{'1100100': 100}	PASS
0010110	{'0110110': 100}	uof
1000111	{'1000111': 100}	PASS
0000101	{'0000101': 100}	PASS
1101011	{'1101011': 100}	PASS
0011001	{'0011001': 100}	PASS
0101000	{'0101000': 100}	PASS
1001111	{'1001111': 100}	PASS
0110000	{'0110000': 100}	PASS
1111110	{'1011110': 100}	uof
0110011	{'0110011': 100}	PASS
1001010	{'1001010': 100}	PASS
1001001	{'1001001': 100}	PASS
0110100	{'0110100': 100}	PASS
0010101	{'0010101': 100}	PASS
0001011	{'0001011': 100}	PASS
0111000	{'0111000': 100}	PASS
1110001	{'1110001': 100}	PASS
