inputs	outputs	result
0000001	{'0000001': 100}	PASS
1111100	{'1111100': 100}	PASS
1101011	{'1101011': 100}	PASS
1010110	{'1010110': 100}	PASS
0110010	{'0110010': 100}	PASS
0011101	{'0011101': 100}	PASS
0001100	{'0001100': 100}	PASS
1010000	{'1010000': 100}	PASS
0100101	{'0100101': 100}	PASS
0101010	{'0101010': 100}	PASS
0011111	{'0011111': 100}	PASS
0111100	{'0111100': 100}	PASS
0110001	{'0110001': 100}	PASS
1100110	{'1100110': 100}	PASS
1111011	{'1111011': 100}	PASS
1000011	{'1000011': 100}	PASS
1101101	{'1101101': 100}	PASS
0000100	{'0000100': 100}	PASS
1001001	{'1001001': 100}	PASS
1011110	{'1011110': 100}	PASS
0010010	{'0010010': 100}	PASS
1010111	{'1010111': 100}	PASS
1000000	{'1000000': 100}	PASS
1010111	{'1010111': 100}	PASS
0001011	{'0001011': 100}	PASS
1100101	{'1100101': 100}	PASS
0110010	{'0110010': 100}	PASS
1101110	{'1101110': 100}	PASS
1111001	{'1111001': 100}	PASS
0001100	{'0001100': 100}	PASS
0011110	{'0011110': 100}	PASS
1100011	{'1100011': 100}	PASS
1111000	{'1111000': 100}	PASS
0010100	{'0010100': 100}	PASS
1011101	{'1011101': 100}	PASS
0110001	{'0110001': 100}	PASS
1001111	{'1001111': 100}	PASS
0000101	{'0000101': 100}	PASS
0111111	{'0110111': 100}	uof
