inputs	outputs	result
01010011011	{'001010011100': 97, '001010011010': 109, '001010011001': 93, '001010011011': 101}	PASS
11101110110	{'011101110110': 94, '011101110101': 101, '011101110100': 110, '011101110111': 95}	PASS
00001001100	{'000001001101': 103, '000001001100': 102, '000001001110': 108, '000001001111': 87}	PASS
10000100001	{'010000100100': 115, '010000100010': 91, '010000100011': 105, '010000100001': 89}	PASS
10011010000	{'010011010010': 101, '010011010000': 90, '010011010011': 104, '010011010001': 105}	PASS
00111000011	{'000111000011': 108, '000111000100': 74, '000111000010': 102, '000111000001': 116}	PASS
00110111100	{'000110111111': 35, '000110111101': 159, '000110111100': 170, '000110111110': 36}	wodf
11110001101	{'011110001110': 85, '011110010000': 96, '011110001111': 112, '011110001101': 107}	PASS
10100101010	{'010100101000': 106, '010100101011': 93, '010100101001': 98, '010100101010': 103}	PASS
10010110111	{'010010110110': 42, '010010110111': 175, '010010110101': 31, '010010111000': 152}	wodf
01010100010	{'001010100000': 96, '001010100001': 111, '001010100011': 101, '001010100010': 92}	PASS
00101111001	{'000101111100': 97, '000101111011': 106, '000101111010': 97, '000101111001': 100}	PASS
10000001111	{'010000010000': 89, '010000001111': 110, '010000001110': 114, '010000001101': 87}	PASS
10111011110	{'010111011100': 93, '010111011111': 95, '010111011110': 107, '010111011101': 105}	PASS
00100010111	{'000100010111': 102, '000100010110': 103, '000100011000': 96, '000100010101': 99}	PASS
01111001000	{'001111001010': 107, '001111001000': 98, '001111001011': 91, '001111001001': 104}	PASS
00000010010	{'000000010001': 107, '000000010000': 104, '000000010011': 94, '000000010010': 95}	PASS
11001000001	{'011001000100': 107, '011001000011': 96, '011001000001': 102, '011001000010': 95}	PASS
11101011101	{'011101011110': 92, '011101100000': 97, '011101011111': 110, '011101011101': 101}	PASS
11011100100	{'011011100111': 26, '011011100110': 28, '011011100101': 173, '011011100100': 173}	wodf
00110100000	{'000110100011': 100, '000110100000': 108, '000110100010': 100, '000110100001': 92}	PASS
01011101111	{'001011101101': 27, '001011110000': 169, '001011101110': 28, '001011101111': 176}	wodf
11111110011	{'011111110010': 95, '011111110011': 103, '011111110001': 108, '011111110100': 94}	PASS
11000111000	{'011000111010': 96, '011000111001': 108, '011000111000': 92, '011000111011': 104}	PASS
01010010101	{'001010010101': 90, '001010010111': 98, '001010010110': 103, '001010011000': 109}	PASS
00101100101	{'000101100110': 115, '000101101000': 92, '000101100101': 93, '000101100111': 100}	PASS
01100111110	{'001100111111': 109, '001100111101': 95, '001100111110': 90, '001100111100': 106}	PASS
11001101111	{'011001101101': 101, '011001110000': 109, '011001101110': 90, '011001101111': 100}	PASS
11100010000	{'011100010001': 97, '011100010010': 94, '011100010000': 100, '011100010011': 109}	PASS
00001101010	{'000001101000': 99, '000001101011': 103, '000001101001': 98, '000001101010': 100}	PASS
10111000101	{'010111000110': 99, '010111001000': 106, '010111000111': 102, '010111000101': 93}	PASS
00010101001	{'000010101010': 108, '000010101011': 102, '000010101001': 83, '000010101100': 107}	PASS
01100000110	{'001100000111': 93, '001100000101': 109, '001100000110': 99, '001100000100': 99}	PASS
11010001010	{'011010001001': 84, '011010001000': 104, '011010001011': 112, '011010001010': 100}	PASS
01100101001	{'001100101011': 78, '001100101100': 116, '001100101001': 97, '001100101010': 109}	PASS
01001010011	{'001001010010': 96, '001001010011': 94, '001001010001': 104, '001001010100': 106}	PASS
00011110100	{'000011110110': 28, '000011110101': 185, '000011110111': 23, '000011110100': 164}	wodf
10101011011	{'010101011011': 98, '010101011001': 96, '010101011100': 97, '010101011010': 109}	PASS
10001111111	{'010001111110': 107, '010010000000': 87, '010001111101': 109, '010001111111': 97}	PASS
11000000110	{'011000000101': 110, '011000000110': 94, '011000000100': 90, '011000000111': 106}	PASS
11110111110	{'011110111100': 26, '011110111110': 171, '011110111111': 167, '011110111101': 36}	wodf
10010001100	{'010010001101': 110, '010010001110': 101, '010010001100': 97, '010010001111': 92}	PASS
10100100100	{'010100100101': 86, '010100100110': 105, '010100100111': 106, '010100100100': 103}	PASS
