inputs	outputs	result
10110000010	{'010110000001': 91, '010110000011': 97, '010110000000': 107, '010110000010': 105}	PASS
11001111101	{'011001111110': 107, '011010000000': 95, '011001111111': 101, '011001111101': 97}	PASS
00011100100	{'000011100100': 83, '000011100101': 109, '000011100111': 109, '000011100110': 99}	PASS
01101010011	{'001101010010': 93, '001101010100': 106, '001101010011': 97, '001101010001': 104}	PASS
00000001111	{'000000001110': 105, '000000001101': 99, '000000010000': 117, '000000001111': 79}	PASS
11110111100	{'011110111100': 101, '011110111111': 86, '011110111101': 114, '011110111110': 99}	PASS
11001101000	{'011001101000': 102, '011001101011': 107, '011001101001': 104, '011001101010': 87}	PASS
00010010101	{'000010010101': 84, '000010010111': 97, '000010010110': 121, '000010011000': 98}	PASS
11100110110	{'011100110110': 104, '011100110100': 90, '011100110101': 98, '011100110111': 108}	PASS
00110111100	{'000110111100': 105, '000110111110': 89, '000110111101': 102, '000110111111': 104}	PASS
01001010011	{'001001010011': 99, '001001010010': 99, '001001010100': 93, '001001010001': 109}	PASS
10010000110	{'010010000110': 94, '010010000111': 100, '010010000101': 111, '010010000100': 95}	PASS
11101001101	{'001101010000': 92, '001101001101': 96, '001101001111': 99, '001101001110': 113}	uof
