inputs	outputs	result
111100111	{'0100': 57, '1000': 143}	uof
010001100	{'0111': 149, '0101': 51}	PASS
101001010	{'1011': 39, '0110': 161}	PASS
001010001	{'0011': 143, '1001': 57}	PASS
111000000	{'1111': 42, '0001': 158}	PASS
010010010	{'0101': 54, '1010': 146}	PASS
011011111	{'0000': 43, '0111': 157}	PASS
000101001	{'0101': 46, '0010': 154}	PASS
100110100	{'1010': 52, '1011': 148}	PASS
100000101	{'0011': 52, '1001': 148}	PASS
110110011	{'1010': 46, '0110': 154}	uof
001000110	{'0011': 54, '0100': 146}	PASS
000111111	{'0000': 45, '1010': 155}	uof
011101010	{'0000': 47, '0110': 153}	uof
111111001	{'1101': 45, '0000': 155}	PASS
000100000	{'0010': 48, '0001': 152}	PASS
110011101	{'1101': 147, '1111': 53}	PASS
001111100	{'0100': 52, '1111': 148}	PASS
011100101	{'1000': 146, '0011': 54}	PASS
101011110	{'0000': 134, '1011': 66}	wodf
100111010	{'0010': 45, '1110': 155}	uof
110000110	{'1101': 48, '0100': 152}	PASS
111110100	{'1011': 156, '0000': 44}	PASS
110101011	{'0110': 200}	wodf
000001011	{'0110': 52, '0001': 148}	PASS
101101111	{'1000': 44, '0100': 156}	uof
101011000	{'1011': 46, '1101': 154}	PASS
101110011	{'1010': 54, '0100': 146}	uof
010110000	{'1001': 152, '0110': 48}	PASS
111000011	{'0010': 54, '1111': 146}	PASS
110011000	{'1101': 100}	PASS
000010111	{'1100': 44, '0001': 156}	PASS
010100011	{'0010': 50, '1110': 150}	uof
110101110	{'0110': 42, '1000': 158}	uof
101010100	{'1011': 100}	PASS
101101001	{'0101': 48, '1100': 152}	PASS
000011000	{'1101': 157, '0001': 43}	PASS
001100110	{'1100': 22, '0100': 78}	uof
