inputs	outputs	result
110000101	{'0011': 52, '1101': 148}	PASS
001111011	{'0100': 159, '1110': 41}	PASS
101010110	{'1100': 153, '1011': 47}	PASS
010101100	{'0110': 43, '0111': 157}	PASS
000010000	{'0001': 39, '1001': 161}	PASS
101001010	{'1011': 51, '0110': 149}	PASS
110110011	{'1110': 155, '1010': 45}	PASS
111011000	{'1111': 55, '1101': 145}	PASS
011111001	{'1101': 49, '1000': 151}	PASS
111000110	{'0100': 140, '1111': 60}	PASS
000101100	{'0010': 47, '0111': 153}	PASS
000000011	{'0010': 52, '0001': 148}	PASS
110110000	{'1110': 52, '1001': 148}	PASS
100011101	{'1111': 42, '1001': 158}	PASS
001110010	{'0100': 50, '1010': 150}	PASS
111100101	{'0011': 43, '0000': 157}	PASS
010011110	{'0101': 56, '0000': 144}	PASS
101101010	{'1100': 43, '0110': 157}	PASS
001011111	{'0011': 142, '0000': 58}	PASS
110001001	{'0101': 52, '1101': 148}	PASS
001010000	{'0011': 57, '1001': 143}	PASS
100110111	{'1010': 152, '1100': 48}	PASS
011100111	{'0100': 61, '1000': 139}	PASS
111110010	{'0000': 53, '1010': 147}	PASS
110010000	{'1101': 53, '1001': 147}	PASS
111111111	{'1000': 68, '0000': 32}	uof
